"JobID","JobName","State","array_offset","slurm_array_task_id"
"18747848_1880","toar_regression_mda8_sub_10000","TIMEOUT",10000,"1880"
"18747848_1881","toar_regression_mda8_sub_10000","TIMEOUT",10000,"1881"
"18747848_1882","toar_regression_mda8_sub_10000","TIMEOUT",10000,"1882"
"18747848_1883","toar_regression_mda8_sub_10000","TIMEOUT",10000,"1883"
"18747848_3358","toar_regression_mda8_sub_10000","FAILED",10000,"3358"
"18747848_3429","toar_regression_mda8_sub_10000","FAILED",10000,"3429"
"18747848_3435","toar_regression_mda8_sub_10000","FAILED",10000,"3435"
"18747848_6154","toar_regression_mda8_sub_10000","FAILED",10000,"6154"
"18747848_6225","toar_regression_mda8_sub_10000","FAILED",10000,"6225"
"18747848_6231","toar_regression_mda8_sub_10000","FAILED",10000,"6231"
"18747848_8757","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8757"
"18747848_8758","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8758"
"18747848_8759","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8759"
"18747848_8760","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8760"
"18747848_8761","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8761"
"18747848_8762","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8762"
"18747848_8763","toar_regression_mda8_sub_10000","TIMEOUT",10000,"8763"
"18747848_8950","toar_regression_mda8_sub_10000","FAILED",10000,"8950"
"18747848_9021","toar_regression_mda8_sub_10000","FAILED",10000,"9021"
"18747848_9027","toar_regression_mda8_sub_10000","FAILED",10000,"9027"
"18747848_9760","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9760"
"18747848_9761","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9761"
"18747848_9762","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9762"
"18747848_9763","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9763"
"18747848_9764","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9764"
"18747848_9765","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9765"
"18747848_9766","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9766"
"18747848_9767","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9767"
"18747848_9768","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9768"
"18747848_9769","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9769"
"18747848_9770","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9770"
"18747848_9772","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9772"
"18747848_9773","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9773"
"18747848_9774","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9774"
"18747848_9775","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9775"
